ID;Name;IMDB_Rating;Premiere;Finale ;Runtime_of_Episodes;Overview
1;Game of Thrones;9.3;2011;2019;57;Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.
2;Breaking Bad;9.5;2008;2013;49;A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.
3;The Walking Dead;8.2;2010;null;44;Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
4;Friends;8.9;1994;2004;22;Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.
5;Stranger Things;8.7;2016;null;51;When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.
6;Sherlock;9.1;2010;2017;88;A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
7;The Big Bang Theory;8.1;2007;2019;22;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
8;Dexter;8.6;2006;2021;53;By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.
9;How I Met Your Mother;8.3;2005;2014;22;A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
10;True Detective;9;2014;null;55;Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.
11;Lost;8.3;2004;2010;44;The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.
12;Prison Break;8.3;2005;2017;44;Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.
13;House of Cards;8.7;2013;2018;51;A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
14;Black Mirror;8.8;2011;null;60;An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.
15;Vikings;8.5;2013;2020;44;Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.
16;Westworld;8.6;2016;null;62;Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.
17;The Office;8.9;2005;2013;22;A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.
18;House M.D.;8.7;2004;2012;44;An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.
19;Arrow;7.5;2012;2020;42;Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.
20;Supernatural;8.4;2005;2020;44;Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.
21;Rick and Morty;9.2;2013;null;23;An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
22;The Simpsons;8.7;1989;null;22;The satiric adventures of a working-class family in the misfit city of Springfield.
23;Suits;8.5;2011;2019;44;On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.
24;Daredevil;8.6;2015;2018;54;A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.
25;Narcos;8.8;2015;2017;49;A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.
26;Modern Family;8.4;2009;2020;22;Three different but related families face trials and tribulations in their own uniquely comedic ways.
27;Peaky Blinders;8.8;2013;null;60;A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.
28;Mr. Robot;8.6;2015;2019;49;Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.
29;South Park;8.7;1997;null;22;Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.
30;Fargo;8.9;2014;null;53;Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.
31;Better Call Saul;8.7;2015;2021;46;The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.
32;Homeland;8.3;2011;2020;55;A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.
33;Family Guy;8.1;1999;null;22;In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.
34;The Sopranos;9.2;1999;2007;55;New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.
35;The Witcher;8.2;2019;null;60;Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.
36;La casa de papel;8.3;2017;null;70;An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
37;The Mandalorian;8.8;2019;null;40;The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.
38;The Wire;9.3;2002;2008;59;The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.
39;Dark;8.8;2017;2020;60;A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.
40;The Vampire Diaries;7.7;2009;2017;43;The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.
41;Orange Is the New Black;8.1;2013;2019;59;Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.
42;American Horror Story;8;2011;null;60;An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.
43;Arrested Development;8.7;2003;2019;22;Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.
44;Sons of Anarchy;8.5;2008;2014;45;A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
45;13 Reasons Why;7.6;2017;2020;60;Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.
46;Seinfeld;8.8;1989;1998;22;The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.
47;Grey's Anatomy;7.6;2005;null;41;A drama centered on the personal and professional lives of five surgical interns and their supervisors.
48;Avatar: The Last Airbender;9.2;2005;2008;23;In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.
49;The Boys;8.7;2019;null;60;A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
50;Firefly;9;2002;2003;44;Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.
51;Two and a Half Men;7;2003;2015;22;A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.
52;Death Note: Desu n̫to;9;2006;2007;24;An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
53;Scrubs;8.3;2001;2010;22;"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life."
54;Lucifer;8.1;2016;null;42;Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
55;Heroes;7.5;2006;2010;45;Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.
56;True Blood;7.8;2008;2014;55;Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire.
57;Hannibal;8.5;2013;2015;44;Explores the early relationship between renowned psychiatrist, Hannibal Lecter, and his patient, a young FBI criminal profiler, who is haunted by his ability to empathize with serial killers.
58;Brooklyn Nine-Nine;8.4;2013;2022;22;Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.
